KarmarkarKarp,Random,RandomPP,Random_hill,Random_hillPP,Random_anneal,Random_annealPP,KarmarkarKarp_TIME,Random_TIME,RandomPP_TIME,Random_hill_TIME,Random_hillPP_TIME,Random_anneal_TIME,Random_annealPP_TIME
454,55437946,6,975204,0,1910598,4,2,3348,52500,1384,49449,2057,49759
7754,38121028,0,2051536,1304,3323136,12,0,3296,52435,1392,49031,2309,51480
32115,27915873,1,2317189,61,5131053,1,0,3247,53710,1400,49593,2039,54286
285613,23639785,3,5681247,25,3326267,1,0,3225,52494,1367,49832,2048,51227
27565,13707401,1,8484173,35,3272001,1,0,3293,55222,1378,53300,2117,50446
2772,51350140,2,247180,48,4728980,0,0,3221,52416,1386,47794,2018,51680
8227,17766473,3,1592881,15,20939,3,0,3291,52783,1367,49983,2059,54087
18599,5834989,1,1615071,135,3083355,7,0,3235,54912,1468,53853,2595,55887
8947,103959997,1,192211,57,8312383,1,0,3276,57809,1453,48448,2063,48977
542,12417102,0,4297150,6,1365290,2,0,3241,52833,1380,50764,2107,51592
93851,7603299,1,1241995,1,44747,1,1,3203,53464,1388,48398,2023,49254
9037,109125855,1,2316829,17,221969,3,0,3230,53362,1368,50868,2015,49265
4632,56838222,0,1013014,2,6375678,6,1,3203,52361,1374,50660,2012,48798
22075,13282407,3,4237887,93,5928961,3,1,3208,52529,1366,49000,2013,48538
18145,50406327,1,491555,57,11962471,5,0,3216,52442,1369,48176,2010,49372
2737,6524097,3,4796413,43,7191455,3,0,3195,52419,1359,49485,2035,50852
8562,33234346,4,3364794,10,10144,6,0,3433,53267,1394,51346,2072,51420
4129,69147813,1,2190841,33,24839,1,0,3215,53534,1385,49659,2010,49501
16442,21032316,2,1061128,20,5132514,0,1,3418,53059,1367,49151,2052,49860
17827,61005643,1,1103481,19,4617893,1,0,3197,53234,1412,50548,2015,51297
29230,37091524,0,5234216,0,3319740,0,0,3204,52630,1356,50191,2008,49632
14747,23502653,3,2015583,45,434769,1,0,3198,52111,1358,50351,2005,49872
7432,6173666,4,222080,6,7328840,2,0,3216,53370,1371,51245,2065,49737
30227,10342919,3,1434821,103,2018437,7,0,3199,52155,1373,48721,2015,49082
666,21384956,0,2807654,54,2950090,0,0,3189,52286,1358,48582,2006,48867
86593,8108605,1,4935373,11,7947119,1,0,3719,52219,1365,46732,2003,49289
4407,21909373,3,1620221,23,859617,1,0,3210,52266,1354,49696,2010,50193
642,156746904,2,1650444,2,1120516,14,0,3201,52154,1354,47833,2004,48309
950,32771824,0,1549458,16,197798,2,0,3203,52275,1357,51507,2006,50305
2159,44107107,5,1910627,17,3583597,5,0,3210,52089,1357,46896,2006,49330
812,18325804,0,6748366,38,624060,4,0,3195,52101,1364,49776,2007,47578
12577,39302763,3,5705321,133,617,1,1,3228,52124,1362,48215,2011,48848
19087,47255655,3,387849,13,252401,1,1,3203,52272,1360,48348,2010,48249
79926,37517338,2,2209984,76,1936988,10,0,3202,52144,1357,47486,2010,49208
1195,188360641,1,2677543,15,2458797,5,0,3203,52175,1364,48016,2013,49038
4428,58556112,0,6343656,66,351758,12,0,3199,52120,1359,48989,2014,50151
28157,258424285,1,1748131,273,2248595,11,0,3207,52191,1354,47411,2010,50105
3340,13385212,0,6422550,8,4287376,12,0,3211,52149,1359,49691,2009,47993
3422,4187316,2,1901528,26,1782590,0,1,3211,52038,1360,48588,2013,48738
2779,467921,1,5344353,243,5481103,3,0,3201,53393,1370,48893,2010,49230
9437,213746269,1,6155985,83,818345,1,0,3195,52291,1371,48117,2004,48706
2714,87215560,2,37690,40,783046,10,0,3207,52029,1362,47668,2013,49424
3223,6090607,1,8228713,63,720839,1,0,3200,52218,1363,50156,2014,48827
1507,17579859,1,116655,9,577397,3,0,3195,52201,1365,57314,2182,48766
1153,23032377,1,1993823,57,415893,5,0,3254,58044,1503,54460,2037,52768
1031,35808907,1,1648507,31,767027,1,0,3330,56223,1366,50197,2013,50688
141938,24047516,6,5366612,50,832758,0,0,3223,54885,1403,51506,2036,52094
32497,45750375,1,1409999,155,1682893,1,0,3231,53264,1374,48926,2038,52933
27197,11141387,1,914203,9,3254219,1,0,3228,53797,1389,51033,2055,53585
43032,84131668,2,2291096,96,5481688,2,0,3289,56609,1382,48717,2034,52105
