KarmarkarKarp,Random,RandomPP,Random_hill,Random_hillPP,Random_anneal,Random_annealPP,KarmarkarKarp_TIME,Random_TIME,RandomPP_TIME,Random_hill_TIME,Random_hillPP_TIME,Random_anneal_TIME,Random_annealPP_TIME
6403,1257833,1,11051233,9,2631863,1,1,481,5751,146,4518,269,4997
9502,9920266,2,410860,6,10968298,2,0,405,5460,138,4668,304,5291
9263,46065309,1,844441,1,833497,1,0,386,5473,122,4563,230,4941
83305,3752355,1,2599907,11,3070721,1,0,402,5465,125,4745,228,4824
6509,19697093,1,142141,15,3278199,1,0,386,5460,121,4590,234,4994
2482,90157032,0,2097652,46,3030988,16,0,391,5630,123,5481,229,5067
2501,23700437,1,4108777,7,4853227,3,0,397,5549,121,4800,232,6276
3812,20945084,8,2073068,60,67000,2,0,426,5594,129,4825,247,5158
6950,9489080,0,2298750,2,385852,4,0,402,5825,119,5042,228,4873
7886,158757146,0,2271606,4,145734,0,0,384,5506,124,4818,228,4919
31938,21735880,0,10736062,12,10336542,4,0,399,5499,119,4712,235,4824
17821,26003223,3,1957341,65,296181,3,0,386,5434,120,4601,231,5022
8304,14115904,2,1011180,56,8670172,0,0,381,5453,119,4667,232,5005
25654,21686154,0,2975634,104,993406,2,0,445,6227,126,4460,233,4924
891,10146037,1,3001675,45,321673,9,0,392,5761,123,3872,236,4913
12543,29590091,1,1953509,25,1806709,1,0,388,5473,118,4701,230,4808
50194,13024050,0,10387852,38,1958710,0,0,388,5521,126,4696,237,4773
8443,5811769,1,2118675,1,9219931,7,0,386,5462,119,4451,231,5028
32413,8624499,1,4355587,89,9076055,1,0,387,5475,121,4441,230,4769
26622,22248918,0,51628,124,7088520,4,0,386,5474,120,4639,235,4825
5389,4308923,7,3004349,79,1427991,1,0,392,5487,130,4651,234,4943
1296,15743804,0,5886616,30,703136,2,0,379,5448,119,4826,234,4752
10209,19740997,3,1098615,87,1158515,3,0,386,5453,117,4552,232,4829
31650,55432014,0,980802,14,7815000,6,0,387,5444,138,4508,233,4695
27763,40213513,1,5503667,7,2466661,9,0,399,5502,122,4671,232,4837
78,55970304,2,2441068,476,6118960,6,0,386,5495,120,4559,232,4820
18605,50858987,1,58147,29,16215383,7,0,384,5484,124,4703,231,4925
21891,76653277,3,6071039,25,467197,1,0,402,5498,119,4609,232,5034
50382,9893206,0,1958810,2,2277052,8,0,386,6024,130,4725,233,5001
49424,119121360,0,101554,10,1109740,0,0,388,5453,126,4795,232,4898
18891,105038339,1,1313905,5,1522275,1,0,382,5468,119,4579,242,4830
33243,34949493,5,307295,145,3038601,3,0,387,5492,124,4717,233,4687
11754,57320966,2,1893636,68,89128,6,0,382,5521,131,4852,233,4845
3328,6373998,0,6437790,74,4229726,18,0,383,5511,120,4658,233,4896
3706,89027748,2,815214,0,1584062,2,0,384,5540,119,4560,236,4623
14980,48398702,0,340960,18,871014,0,0,385,5530,121,4838,240,5477
25322,56264586,0,3029436,26,6353004,0,0,382,5435,118,4633,236,4750
4653,91121597,1,4798905,19,983825,3,0,395,5447,118,4614,233,4785
2536,59728132,2,146148,106,545942,0,0,384,5443,117,4616,230,4795
8796,10043546,0,479984,222,1106710,0,0,383,5463,119,4516,232,4736
7020,59485386,2,178818,36,4242700,2,0,395,5547,141,4615,232,4852
3812,62029714,0,21074,14,1240588,2,1,386,5462,121,4711,233,4857
1345,1662455,1,2604207,73,1066291,1,0,381,5494,121,4571,234,4901
65742,90416844,2,3806970,64,1836230,6,0,382,5492,124,5052,236,4841
20333,37574043,5,1957103,33,2559547,1,0,382,5466,118,4751,231,4708
8384,59388496,2,3615542,16,1652150,4,0,383,5452,119,4903,233,5057
11936,4402198,0,2908364,92,2694058,2,0,385,5446,121,4781,232,4888
27785,38641189,1,913217,21,1497959,1,0,387,5462,118,4756,234,4872
31471,34753625,5,3673413,3,419407,3,0,388,5473,121,4635,234,4897
37950,15804154,2,6554498,22,1252092,2,0,386,5470,119,4814,229,4860
